ward code,ward name,local authority code,local authority name,All Households,deprived in: no dimensions,1 dimension,2 dimensions,3 dimensions,4 dimensions
E05013659,Hampstead Town,E09000007,Camden,3745,2430,1033,216,60,6
E05013660,Haverstock,E09000007,Camden,5076,2129,1677,880,359,31
E05013661,Highgate,E09000007,Camden,4457,2285,1363,587,201,21
E05013662,Holborn & Covent Garden,E09000007,Camden,5024,2216,1660,849,268,31
E05013663,Kentish Town North,E09000007,Camden,3351,1727,1009,452,152,11
E05013664,Kentish Town South,E09000007,Camden,4304,1949,1351,682,293,29
E05013665,Kilburn,E09000007,Camden,5529,1945,1957,1118,433,76
E05013666,King's Cross,E09000007,Camden,4376,1872,1499,718,268,19
E05013667,Primrose Hill,E09000007,Camden,5608,2936,1690,707,252,23
E05013668,Regent's Park,E09000007,Camden,4966,1933,1698,961,339,35
E05013669,St Pancras & Somers Town,E09000007,Camden,4857,1471,1744,1105,467,70
E05013670,South Hampstead,E09000007,Camden,5527,3019,1670,629,183,26
E05013671,West Hampstead,E09000007,Camden,5323,2773,1560,689,267,34
E05011462,Addiscombe East,E09000008,Croydon,4796,2391,1612,629,144,20
E05011463,Addiscombe West,E09000008,Croydon,6608,3206,2243,906,231,22
E05011464,Bensham Manor,E09000008,Croydon,6084,2673,2194,965,231,21
E05011465,Broad Green,E09000008,Croydon,7276,2781,2674,1376,401,44
E05011466,Coulsdon Town,E09000008,Croydon,5675,3378,1676,516,101,4
E05011467,Crystal Palace & Upper Norwood,E09000008,Croydon,7200,3776,2312,857,225,30
E05011468,Fairfield,E09000008,Croydon,7531,3735,2522,1022,217,35
E05011469,Kenley,E09000008,Croydon,3929,2382,1133,345,66,3
E05011470,New Addington North,E09000008,Croydon,3703,1145,1365,883,297,13
E05011471,New Addington South,E09000008,Croydon,3992,1364,1434,888,290,16
E05011472,Norbury & Pollards Hill,E09000008,Croydon,4599,2086,1654,699,141,19
E05011473,Norbury Park,E09000008,Croydon,3595,1710,1237,526,112,10
E05011474,Old Coulsdon,E09000008,Croydon,3814,2024,1254,432,100,4
E05011475,Park Hill & Whitgift,E09000008,Croydon,2392,1337,733,264,51,7
E05011476,Purley & Woodcote,E09000008,Croydon,6414,3629,1950,682,140,13
E05011477,Purley Oaks & Riddlesdown,E09000008,Croydon,4100,2369,1220,443,66,2
E05011478,Sanderstead,E09000008,Croydon,5896,3406,1826,576,78,10
E05011479,Selhurst,E09000008,Croydon,5167,1966,1883,989,297,32
E05011480,Selsdon & Addington Village,E09000008,Croydon,3848,1978,1317,458,89,6
E05011481,Selsdon Vale & Forestdale,E09000008,Croydon,4114,2153,1414,465,78,4
E05011482,Shirley North,E09000008,Croydon,5999,2904,2040,836,208,11
E05011483,Shirley South,E09000008,Croydon,3903,1928,1347,500,120,8
E05011484,South Croydon,E09000008,Croydon,7465,3894,2461,883,196,31
E05011485,South Norwood,E09000008,Croydon,7136,3116,2554,1094,330,42
E05011486,Thornton Heath,E09000008,Croydon,7031,3054,2476,1132,328,41
E05011487,Waddon,E09000008,Croydon,7281,3225,2529,1149,355,23
E05011488,West Thornton,E09000008,Croydon,6485,2509,2412,1161,349,54
E05011489,Woodside,E09000008,Croydon,6916,3276,2292,972,333,43
E05013518,Central Greenford,E09000009,Ealing,4900,2204,1792,724,169,11
E05013519,Dormers Wells,E09000009,Ealing,4708,1500,1778,1073,345,12
E05013520,Ealing Broadway,E09000009,Ealing,6345,3577,1947,629,167,25
E05013521,Ealing Common,E09000009,Ealing,6630,3550,2105,756,201,18
E05013522,East Acton,E09000009,Ealing,6244,2787,2192,965,258,42
E05013523,Greenford Broadway,E09000009,Ealing,5989,2418,2229,1025,296,21
E05013524,Hanger Hill,E09000009,Ealing,6655,3627,2160,698,157,13
E05013525,Hanwell Broadway,E09000009,Ealing,6148,2993,1937,909,288,21
E05013526,Lady Margaret,E09000009,Ealing,4743,1783,1770,930,247,13
E05013527,North Acton,E09000009,Ealing,6759,3111,2382,932,293,41
E05013528,North Greenford,E09000009,Ealing,5422,2538,1971,773,131,9
E05013529,North Hanwell,E09000009,Ealing,5469,2440,1940,858,216,15
E05013530,Northfield,E09000009,Ealing,5652,3315,1688,505,127,17
E05013531,Northolt Mandeville,E09000009,Ealing,6083,2476,2261,1039,283,24
E05013532,Northolt West End,E09000009,Ealing,5621,1956,2086,1181,367,31
E05013533,Norwood Green,E09000009,Ealing,4836,1819,1703,958,339,17
E05013534,Perivale,E09000009,Ealing,5660,2517,2061,876,180,26
E05013535,Pitshanger,E09000009,Ealing,5924,2977,1896,786,236,29
E05013536,South Acton,E09000009,Ealing,7349,3480,2372,1104,356,37
E05013537,Southall Broadway,E09000009,Ealing,2851,778,1162,692,207,12
E05013538,Southall Green,E09000009,Ealing,4426,1130,1821,1096,348,31
E05013539,Southall West,E09000009,Ealing,1871,500,733,493,140,5
E05013540,Southfield,E09000009,Ealing,7186,4595,1843,592,136,20
E05013541,Walpole,E09000009,Ealing,6157,3424,1802,710,188,33
E05013672,Arnos Grove,E09000010,Enfield,3174,1717,1057,342,53,5
E05013673,Bowes,E09000010,Enfield,3804,1430,1455,693,211,15
E05013674,Brimsdown,E09000010,Enfield,5606,1979,2104,1119,362,42
E05013675,Bullsmoor,E09000010,Enfield,3953,1375,1462,857,237,22
E05013676,Bush Hill Park,E09000010,Enfield,4991,2532,1742,610,99,8
E05013677,Carterhatch,E09000010,Enfield,4195,1295,1600,949,318,33
E05013678,Cockfosters,E09000010,Enfield,3857,2016,1241,480,110,10
E05013679,Edmonton Green,E09000010,Enfield,6233,1687,2483,1423,600,40
E05013680,Enfield Lock,E09000010,Enfield,6421,2364,2344,1253,417,43
E05013681,Grange Park,E09000010,Enfield,3383,1906,1101,321,53,2
E05013682,Haselbury,E09000010,Enfield,6204,2084,2388,1272,400,60
E05013683,Highfield,E09000010,Enfield,3410,1491,1231,546,135,7
E05013684,Jubilee,E09000010,Enfield,5667,2027,2138,1129,336,37
E05013685,Lower Edmonton,E09000010,Enfield,5810,1879,2232,1285,387,27
E05013686,New Southgate,E09000010,Enfield,4306,1983,1514,629,161,19
E05013687,Oakwood,E09000010,Enfield,3265,1777,1079,345,61,3
E05013688,Palmers Green,E09000010,Enfield,4184,1998,1416,596,162,12
E05013689,Ponders End,E09000010,Enfield,4499,1486,1688,968,329,28
E05013690,Ridgeway,E09000010,Enfield,5574,2915,1807,675,163,14
E05013691,Southbury,E09000010,Enfield,5795,2633,2000,876,260,26
E05013692,Southgate,E09000010,Enfield,5912,3028,1972,718,187,7
E05013693,Town,E09000010,Enfield,5387,2879,1696,638,162,12
E05013694,Upper Edmonton,E09000010,Enfield,5627,1731,2152,1222,470,52
E05013695,Whitewebbs,E09000010,Enfield,5662,2588,1921,843,283,27
E05013696,Winchmore Hill,E09000010,Enfield,3987,2210,1285,412,73,7
E05014072,Abbey Wood,E09000011,Greenwich,6207,2432,2239,1116,374,46
E05014073,Blackheath Westcombe,E09000011,Greenwich,6769,3909,1891,752,203,14
E05014074,Charlton Hornfair,E09000011,Greenwich,4622,2275,1396,693,245,13
E05014075,Charlton Village & Riverside,E09000011,Greenwich,3969,1666,1355,688,245,15
E05014076,East Greenwich,E09000011,Greenwich,6391,3743,1752,669,208,19
E05014077,Eltham Page,E09000011,Greenwich,3503,1358,1215,679,239,12
E05014078,Eltham Park & Progress,E09000011,Greenwich,4120,2144,1334,529,112,1
E05014079,Eltham Town & Avery Hill,E09000011,Greenwich,6281,3049,2056,922,234,20
E05014080,Greenwich Creekside,E09000011,Greenwich,4857,2982,1231,467,164,13
E05014081,Greenwich Park,E09000011,Greenwich,4540,2632,1298,472,124,14
E05014082,Greenwich Peninsula,E09000011,Greenwich,5067,3286,1283,380,111,7
E05014083,Kidbrooke Park,E09000011,Greenwich,3960,1829,1302,601,208,20
E05014084,Kidbrooke Village & Sutcliffe,E09000011,Greenwich,2696,1601,729,276,90,0
E05014085,Middle Park & Horn Park,E09000011,Greenwich,3542,1366,1194,696,277,9
E05014086,"Mottingham, Coldharbour & New Eltham",E09000011,Greenwich,5666,2750,1799,854,246,17
E05014087,Plumstead & Glyndon,E09000011,Greenwich,7520,2798,2692,1442,542,46
E05014088,Plumstead Common,E09000011,Greenwich,6011,2616,2096,949,324,26
E05014089,Shooters Hill,E09000011,Greenwich,4732,2180,1621,698,202,31
E05014090,Thamesmead Moorings,E09000011,Greenwich,4605,1762,1741,809,263,30
E05014091,West Thamesmead,E09000011,Greenwich,3926,1741,1379,581,207,18
E05014092,Woolwich Arsenal,E09000011,Greenwich,5774,3276,1697,608,184,9
E05014093,Woolwich Common,E09000011,Greenwich,4862,1984,1677,884,288,29
E05014094,Woolwich Dockyard,E09000011,Greenwich,4472,1628,1670,841,314,19
E05009367,Brownswood,E09000012,Hackney,4085,1990,1353,553,174,15
