ward code,ward name,local authority code,local authority name,All usual residents,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over
E05013500,Dollis Hill,E09000005,Brent,21656,1419,1502,1572,1475,1615,1599,1650,1516,1483,1393,1578,1253,1019,776,602,418,432,354
E05013501,Harlesden & Kensal Green,E09000005,Brent,20121,1197,1292,1372,1247,1349,1505,1545,1590,1450,1519,1751,1333,961,697,410,334,316,253
E05013502,Kenton,E09000005,Brent,17691,948,947,949,883,1107,1297,1383,1368,1338,1017,1033,997,1050,899,851,598,486,540
E05013503,Kilburn,E09000005,Brent,17206,912,918,999,862,1148,1881,1770,1433,1412,1223,1209,1059,770,490,409,317,208,186
E05013504,Kingsbury,E09000005,Brent,11408,717,594,728,757,770,933,1093,894,879,801,694,693,512,397,339,244,176,187
E05013505,Northwick Park,E09000005,Brent,12139,571,624,672,816,906,873,918,878,774,756,861,712,726,605,513,375,299,260
E05013506,Preston,E09000005,Brent,12451,868,764,718,677,912,1183,1186,1002,897,819,773,651,566,417,344,258,208,208
E05013507,Queens Park,E09000005,Brent,17110,1132,967,943,821,928,1448,1570,1485,1440,1313,1243,1069,778,681,500,344,229,219
E05013508,Queensbury,E09000005,Brent,16860,952,921,941,902,1216,1409,1543,1425,1252,1088,1019,894,933,733,598,426,334,274
E05013509,Roundwood,E09000005,Brent,16630,1082,1136,1262,1147,1083,1163,1235,1360,1197,1221,1220,1124,787,535,397,272,202,207
E05013510,Stonebridge,E09000005,Brent,20202,1258,1381,1677,1615,1509,1523,1562,1491,1358,1300,1331,1289,1023,586,484,310,266,239
